point,median,min,max
AL1707,343.0,0.25,1068.0
AL1708,681.0,21.0,1746.5
AL1709,606.5,18.5,1644.0
AL1710,603.0,18.5,1557.0
AL1791A,799.0,1.0,1962.0
AL1811,135.0,1.25,563.0
AL1814,111.5,1.25,467.0
AL1815,106.0,0.5,435.0
AL1822A,667.5,6.0,1876.0
AL2340,614.0,11.0,1558.0
AL2356,179.0,2.0,619.0
AL2357,178.5,1.0,456.0
AL267,205.0,0.25,922.0
AL270,218.0,1.5,944.0
AL272,231.0,0.25,875.0
AL283,175.0,0.25,664.0
AL2852B,202.0,1.0,726.0
AL286,181.0,0.25,1176.0
AL288,374.0,0.5,1319.0
AL3186,77.0,1.0,315.0
AL440,228.0,1.0,700.0
LM1008A,643.0,0.25,1479.0
LM1009A,433.0,0.25,1163.0
LM101,232.0,11.0,555.5
LM1010,824.0,1.0,1898.0
LM1012,708.0,0.25,1634.0
LM1013,705.5,0.5,1586.0
LM1017,694.75,1.25,1700.0
LM1018,810.0,9.5,1672.0
LM1019,956.0,0.25,1838.0
LM1020,981.0,0.25,1744.0
LM1023,221.0,0.25,820.0
LM1072,779.0,0.25,1624.0
LM1073,833.0,0.25,1692.0
LM116,436.0,0.75,1273.0
LM117,614.0,0.75,1323.0
LM118,629.0,0.5,1406.0
LM1518,305.75,0.25,917.0
LM202,263.0,0.25,993.0
LM204,404.0,0.25,1386.0
LM205,451.0,0.25,1735.0
LM206,385.5,0.25,946.0
LM208,724.0,23.0,1718.0
LM220,390.0,0.25,1338.0
LM221,468.0,1.0,1234.0
LM227,229.0,0.25,1046.0
LM228,247.5,0.25,983.0
LM229,250.0,0.25,1125.0
LM230,370.0,0.25,1545.5
LM245,485.0,2.0,1472.0
LM248,544.0,0.25,1616.0
LM265,306.0,0.5,1122.0
LM266,300.0,3.0,1212.0
LM268,242.0,0.25,1008.0
LM26A,401.0,0.25,1135.0
LM271,583.0,10.0,1603.0
LM272,572.0,0.75,1538.0
LM273,672.0,1.0,1669.0
LM274,640.0,0.5,1660.0
LM281,338.0,0.25,1010.0
LM282,330.0,1.0,1110.0
LM284,324.0,9.0,1026.0
LM287,778.0,32.0,1846.0
LM291,521.0,0.25,1366.0
LM292,669.0,0.25,1429.0
LM296,585.75,17.0,1365.0
LM311,981.0,1.0,1803.0
LM312,913.0,1.0,1929.0
LM315,1084.0,17.0,2104.0
LM319A,673.0,0.25,1348.0
LM320A,651.0,0.25,1495.0
LM322,817.0,0.5,1736.0
LM325,870.0,20.0,1688.0
LM326,612.0,0.5,1403.0
LM327,786.5,1.0,1729.0
LM330,786.0,0.25,1657.0
LM331,942.0,49.5,1465.0
LM332,883.25,23.0,1736.5
LM333,869.5,46.0,1433.5
LM334,828.0,47.5,1409.0
LM338,711.25,2.0,1396.5
LM339,766.0,2.0,1717.0
LM340,780.0,1.0,1711.0
LM341,711.0,5.0,1482.0
LM342,746.0,12.0,1490.0
LM343,673.0,5.0,1355.0
LM344,698.0,0.5,1467.0
LM345A,806.0,21.0,1558.0
LM346A,715.0,1.0,1557.0
LM351,658.0,1.0,1457.0
LM355,239.0,0.5,730.0
LM356,311.0,3.0,870.0
LM357,585.0,0.25,1283.0
LM358,577.0,8.75,1343.0
LM359B,713.5,1.0,1674.0
LM360B,820.0,14.0,1855.0
LM362,935.0,24.0,1952.0
LM364,914.0,0.25,1773.0
LM366,914.0,0.25,1773.0
